DATE,TIME,SECONDS,NANOSECONDS,VELOCITY,U,V,W,BCH4,BRSSI,TCH4,TRSSI,PRESS_MBAR,INLET,TEMPC,CH4,H20,C2H6,R,C2C1,BATTV,POWMV,CURRMA,SOCPER,LAT,LONG,bearing,U_cor,horz_length,adj_theta,totalWind,phi,raw_CH4,distance,odometer
2020-05-10,21:46:24,1589168784,392000000,3.9741988801664703,0,0,0,1.99947,0,1.99947,0,240.00900000000001,0,31.2649,1.99947,7127.05,12.0897,0.8835719999999999,0.11096199999999999,11846,13449,745,66,40.5871391296,-105.080581665,5.0304155785113345,3.9741988801664703,3.9741988801664703,8.178505506068936,3.9741988801664703,1.324290681835962,1.99947,8.139158745647403,90650.66354272544
2020-05-10,21:46:25,1589168785,416000000,4.8779669874462375,0,0,0,1.9996900000000002,0,1.9996900000000002,0,240.012,0,31.2652,1.9996900000000002,7123.04,11.9971,0.89297,0.11246700000000001,11868,13453,752,66,40.587158203099996,-105.0806274414,5.58230408995218,4.8779669874462375,4.8779669874462375,8.545592683348755,4.8779669874462375,1.3685944311352454,1.9996900000000002,9.99007686479306,90660.65361959023
2020-05-10,21:46:26,1589168786,440000000,6.69229411541159,0,0,0,2.0022900000000003,0,2.0022900000000003,0,240.012,0,31.2659,2.0022900000000003,7118.55,11.3165,0.8717299999999999,0.111248,11857,13437,741,66,40.5872077942,-105.08065795899999,5.9972719400314265,6.69229411541159,6.69229411541159,8.755335272272866,6.69229411541159,1.4224681961494832,2.0022900000000003,13.705818999354376,90674.35943858958
2020-05-10,21:46:27,1589168787,464000000,8.308523745523786,0,0,0,1.9984400000000002,0,1.9984400000000002,0,239.993,0,31.2664,1.9984400000000002,7106.69,11.6332,0.871907,0.111562,11857,13437,741,66,40.587276458699996,-105.08067321780001,6.207389257502527,8.308523745523786,8.308523745523786,8.868383486376244,8.308523745523786,1.4510141775427847,1.9984400000000002,17.01585545813611,90691.37529404773
2020-05-10,21:46:28,1589168788,488000000,9.527368721232323,0,0,0,2.0007200000000003,0,2.0007200000000003,0,240.012,0,31.267,2.0007200000000003,7101.28,11.4687,0.874617,0.113849,11874,13440,749,66,40.5873603821,-105.08067321780001,0.0,9.527368721232323,9.527368721232323,2.6125334151313697,9.527368721232323,1.4662184670676504,2.0007200000000003,19.512052067856494,90710.88734611559
2020-05-10,21:46:29,1589168789,512000000,10.770064267849586,0,0,0,2.0011099999999997,0,2.0011099999999997,0,240.01,0,31.2674,2.0011099999999997,7092.36,11.9457,0.873341,0.115835,11848,13449,749,66,40.5874519348,-105.08067321780001,0.0,10.770064267849586,10.770064267849586,2.5756375401881404,10.770064267849586,1.4782118218018767,2.0011099999999997,22.057092668211588,90732.9444387838
2020-05-10,21:46:30,1589168790,536000000,11.809845558686202,0,0,0,2.00035,0,2.00035,0,239.99599999999998,0,31.2681,2.00035,7093.07,12.4788,0.85315,0.114738,11846,13441,753,66,40.587558746300004,-105.08067321780001,0.02663972068597269,11.809845558686202,11.809845558686202,2.5778144329194674,11.809845558686202,1.4863227182382985,2.00035,24.186562037302878,90757.1310008211
2020-05-10,21:46:31,1589168791,560000000,12.016888777196487,0,0,0,2.00182,0,2.00182,0,240.019,0,31.269,2.00182,7079.88,12.2351,0.835899,0.106734,11878,13443,741,66,40.587669372600004,-105.0806655884,0.0261805833544283,12.016888777196487,12.016888777196487,2.5730131423729157,12.016888777196487,1.4877714066634218,2.00182,24.61058938463862,90781.74159020574
2020-05-10,21:46:32,1589168792,584000000,12.219882073040726,0,0,0,2.00107,0,2.00107,0,239.989,0,31.269,2.00107,7084.04,11.5527,0.8135789999999999,0.107206,11827,13423,748,66,40.5877799988,-105.0806655884,0.0,12.219882073040726,12.219882073040726,2.542722053866947,12.219882073040726,1.4891444204147692,2.00107,25.02631967427375,90806.76790988001
2020-05-10,21:46:33,1589168793,608000000,12.219883495622328,0,0,0,2.00311,0,2.00311,0,239.99400000000003,0,31.2695,2.00311,7075.63,11.8957,0.78843,0.110128,11841,13392,754,66,40.5878944397,-105.0806655884,0.0,12.219883495622328,12.219883495622328,2.542722025549157,12.219883495622328,1.489144429878109,2.00311,25.02631967427375,90831.79422955429
