nearest10hz,timestamp,deviceTimestamp,deviceID,sequenceID,windSpeed,windAngle,windReference,nearestMS,wind_up,wind_right
1601568825.1,1601568825.1025028,1601568825.101749,35,112,4.26,4.2393,250,1601568825.103,-1.9410185500117472,-3.7921032407504796
1601568825.2,1601568825.201684,1601568825.200695,35,113,4.42,4.2393,250,1601568825.202,-2.013920655176508,-3.93452965354862
1601568825.3,1601568825.303567,1601568825.301833,35,114,4.5200000000000005,4.2410000000000005,250,1601568825.304,-2.05264146977012,-4.02704146943882
1601568825.4,1601568825.402339,1601568825.40171,35,115,4.57,4.2602,250,1601568825.402,-1.9967954702817925,-4.1106821635663
1601568825.5,1601568825.501853,1601568825.5011609,35,116,4.62,4.2847,250,1601568825.502,-1.9162330267458472,-4.203861437679464
1601568825.6,1601568825.602609,1601568825.602093,35,117,4.78,4.2777,250,1601568825.603,-2.012993401230763,-4.335465092305716
1601568825.7,1601568825.706328,1601568825.705554,35,118,4.88,4.2724,250,1601568825.706,-2.078535935721309,-4.415211021447915
1601568825.8,1601568825.8050811,1601568825.804277,35,119,4.93,4.2707000000000015,250,1601568825.805,-2.107412135589874,-4.45687268056521
1601568825.9,1601568825.893116,1601568825.8918462,35,120,4.93,4.2829000000000015,250,1601568825.893,-2.0528828060449507,-4.4822507944831695
1601568826.0,1601568826.003552,1601568826.002968,35,121,4.88,4.2882,250,1601568826.004,-2.0085190665829087,-4.44749942767539
1601568826.1,1601568826.091754,1601568826.091754,35,122,4.98,4.2742,250,1601568826.092,-2.1130152173926144,-4.5094973878545765
1601568826.2,1601568826.201008,1601568826.201008,35,123,5.04,4.255,250,1601568826.201,-2.225699207858605,-4.52193133916666
1601568826.3,1601568826.302391,1601568826.300456,35,124,5.09,4.2410000000000005,250,1601568826.302,-2.3114922745862634,-4.534876345009644
1601568826.4,1601568826.410546,1601568826.409793,35,125,5.09,4.2148,250,1601568826.411,-2.4294991372085524,-4.472765804544532
1601568826.5,1601568826.499366,1601568826.49855,35,126,4.83,4.1869000000000005,250,1601568826.499,-2.4229022237526605,-4.178330385947767
1601568826.6,1601568826.607187,1601568826.607187,35,127,4.68,4.1834,250,1601568826.607,-2.361812394767954,-4.040326993192563
1601568826.7,1601568826.707744,1601568826.707166,35,128,4.5200000000000005,4.2026,250,1601568826.708,-2.205728675518223,-3.9452707144119565
1601568826.8,1601568826.807272,1601568826.8059552,35,129,4.32,4.2323,250,1601568826.807,-1.9952269870871011,-3.8316405455104126
1601568826.9,1601568826.8958118,1601568826.895339,35,130,3.9,4.3039000000000005,250,1601568826.896,-1.5491700350508695,-3.57911612028731
1601568827.0,1601568827.0051131,1601568827.00435,35,131,3.8,4.3405000000000005,250,1601568827.005,-1.3808285485128606,-3.5402418730380365
1601568827.1,1601568827.105256,1601568827.104251,35,132,3.75,4.3684,250,1601568827.105,-1.264668970583071,-3.5303133564663005
1601568827.2,1601568827.191402,1601568827.191402,35,133,3.75,4.3911,250,1601568827.191,-1.1842119179631803,-3.5581093481445967
1601568827.3,1601568827.298374,1601568827.29725,35,134,3.75,4.4086,250,1601568827.298,-1.1217668547068014,-3.578287177363104
1601568827.4,1601568827.408901,1601568827.407958,35,135,3.8,4.4190000000000005,250,1601568827.409,-1.0989525766256452,-3.63762329472526
