nearest10hz,timestamp,deviceTimestamp,deviceID,latitude,longitude,nearestMS,nextLat,prevLat,nextLon,prevLon,prevTime_ms,nextTime_ms,timediff_ms,distance_ms,velocity_ms,bearing_ms,theta_ms,bearing_north,bearing_south
1601568764.4,1601568764.418674,1601568764.417721,16,40.5949615,-105.1400313,1601568764.419,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568764.321,1601568764.529,0.20799994468688965,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568764.5,1601568764.52861,1601568764.527086,16,40.5949615,-105.1400313,1601568764.529,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568764.419,1601568764.675,0.2560000419616699,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568764.7,1601568764.702158,1601568764.6986876,16,40.5949615,-105.1400313,1601568764.7020001,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568764.602,1601568764.7785,0.1765000820159912,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568764.8,1601568764.828351,1601568764.826376,16,40.5949615,-105.1400313,1601568764.828,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568764.729,1601568764.928,0.19899988174438477,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568764.9,1601568764.928082,1601568764.926095,16,40.5949615,-105.1400313,1601568764.928,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568764.828,1601568765.026,0.1979999542236328,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568765.0,1601568765.02648,1601568765.025106,16,40.5949615,-105.1400313,1601568765.026,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568764.928,1601568765.125,0.19700002670288086,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568765.1,1601568765.12547,1601568765.1243448,16,40.5949615,-105.1400313,1601568765.125,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568765.026,1601568765.224,0.1979999542236328,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568765.2,1601568765.224463,1601568765.22248,16,40.5949615,-105.1400313,1601568765.224,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568765.125,1601568765.324,0.19899988174438477,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568765.3,1601568765.324204,1601568765.322419,16,40.5949615,-105.1400313,1601568765.324,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568765.224,1601568765.424,0.20000004768371582,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568765.4,1601568765.4244368,1601568765.422115,16,40.5949615,-105.1400313,1601568765.424,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568765.324,1601568765.523,0.19900012016296387,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
